gene,protein_accession,aro_index,count,rpob_Normalization,rpob_count,sample,SampleType
MexC,AAB41956.1,ARO:3000800,1,0.00025255682363495155,13007,SRR12901034_arg_full,Secondary
MexD,AAB41957.1,ARO:3000801,2,0.00018772422906199467,13007,SRR12901034_arg_full,Secondary
MexF,AAG05882.1,ARO:3000804,17,0.001567135285697216,13007,SRR12901034_arg_full,Secondary
MuxB,AAG05915.1,ARO:3004074,29,0.002722001321398922,13007,SRR12901034_arg_full,Secondary
MuxC,AAG05914,ARO:3004075,4,,13007,SRR12901034_arg_full,Secondary
NPS-1,AAK14791,ARO:3004239,4,,13007,SRR12901034_arg_full,Secondary
Nocardia,BAD59497.1,ARO:3000501,406,,13007,SRR12901034_arg_full,Secondary
OXA-12,AAA83417.1,ARO:3001407,2,0.0007395626231725374,13007,SRR12901034_arg_full,Secondary
OXA-129,CAP69660.1,ARO:3001811,2,0.0007312839370922478,13007,SRR12901034_arg_full,Secondary
OXA-15,AAB05874.1,ARO:3001410,1,0.00035504365061725076,13007,SRR12901034_arg_full,Secondary
OXA-198,ADT70779.1,ARO:3001805,5,0.0018629666838471711,13007,SRR12901034_arg_full,Secondary
OXA-2,AAB59082.1,ARO:3001397,1,,13007,SRR12901034_arg_full,Secondary
OXA-226,ACM67635.1,ARO:3001800,13,0.00461556745802426,13007,SRR12901034_arg_full,Secondary
OXA-233,AID67109.1,ARO:3001495,1,0.00036701141412120303,13007,SRR12901034_arg_full,Secondary
OXA-256,CCE94500.1,ARO:3001502,12,0.004404136969454436,13007,SRR12901034_arg_full,Secondary
OXA-3,AAC41449.1,ARO:3001398,1,0.00035504365061725076,13007,SRR12901034_arg_full,Secondary
OXA-32,AAK58418.1,ARO:3001426,1,0.00035504365061725076,13007,SRR12901034_arg_full,Secondary
OXA-347,AET35493.1,ARO:3001777,2,0.0007126694368753542,13007,SRR12901034_arg_full,Secondary
OXA-372,AIG22448.1,ARO:3001558,2,0.0007596282757392342,13007,SRR12901034_arg_full,Secondary
OXA-427,ARO85965.1,ARO:3003115,1,0.0003697813115862687,13007,SRR12901034_arg_full,Secondary
Pseudomonas,SIP52035.1,ARO:3004054,2,,13007,SRR12901034_arg_full,Secondary
QnrS5,AEG74319.1,ARO:3002794,4,0.0017898090880431269,13007,SRR12901034_arg_full,Secondary
RbpA,ADV91011.1,ARO:3000245,6,0.0051126285688884105,13007,SRR12901034_arg_full,Secondary
Streptomyces,AAO47226.2,ARO:3003318,44,,13007,SRR12901034_arg_full,Secondary
Tet(47),AKQ05891.1,ARO:3004613,1,,13007,SRR12901034_arg_full,Secondary
Tet(X3),QBQ85438.1,ARO:3004719,1,,13007,SRR12901034_arg_full,Secondary
aadA,AAO49597.1,ARO:3002601,1,0.00037118199837258035,13007,SRR12901034_arg_full,Secondary
aadA10,AAL36430.1,ARO:3004692,1,0.0003524893797495007,13007,SRR12901034_arg_full,Secondary
aadA17,ACK43806.1,ARO:3002617,2,0.0007423639967451607,13007,SRR12901034_arg_full,Secondary
aadA23,CAH10847.1,ARO:3002620,5,0.001884462453276177,13007,SRR12901034_arg_full,Secondary
aadA25,AET15272.1,ARO:3003197,1,0.00037118199837258035,13007,SRR12901034_arg_full,Secondary
aadA5,AAF17880.1,ARO:3002605,1,0.0003725933367694342,13007,SRR12901034_arg_full,Secondary
aadA7,BAD00739.1,ARO:3002607,1,0.0003683911562795534,13007,SRR12901034_arg_full,Secondary
aadS,AAA27459.1,ARO:3004683,2,0.0006805003303497305,13007,SRR12901034_arg_full,Secondary
abeM,BAD89844.2,ARO:3000753,3,0.0006547352844344847,13007,SRR12901034_arg_full,Secondary
acrB,AAC73564.1,ARO:3000216,11,0.0010265833554990221,13007,SRR12901034_arg_full,Secondary
acrD,BAA16344.1,ARO:3000491,4,0.000377618680425284,13007,SRR12901034_arg_full,Secondary
acrF,AAC76298.1,ARO:3000502,3,,13007,SRR12901034_arg_full,Secondary
adeF,CAJ77856.1,ARO:3000777,18,0.001664015902138209,13007,SRR12901034_arg_full,Secondary
adeH,CAJ77855.1,ARO:3000779,2,0.0004049258164064513,13007,SRR12901034_arg_full,Secondary
adeI,ACJ41739.1,ARO:3000780,1,0.0002349929198330005,13007,SRR12901034_arg_full,Secondary
adeJ,AAX14802.1,ARO:3000781,1,9.25326228237594e-05,13007,SRR12901034_arg_full,Secondary
amrB,CAH35802.1,ARO:3002983,4,0.00037544845812398933,13007,SRR12901034_arg_full,Secondary
aphA15,CAD91341.1,ARO:3004675,1,0.0003697813115862687,13007,SRR12901034_arg_full,Secondary
arnA,AAG06942.1,ARO:3002985,1,0.0001478009767275433,13007,SRR12901034_arg_full,Secondary
baeR,BAA15935.1,ARO:3000828,2,,13007,SRR12901034_arg_full,Secondary
ceoB,AAB58161.1,ARO:3003010,3,0.00028596901041934205,13007,SRR12901034_arg_full,Secondary
cpxA,BAB38260.1,ARO:3000830,2,0.0004279128714862935,13007,SRR12901034_arg_full,Secondary
dfrA14,ACI32877.1,ARO:3002859,1,,13007,SRR12901034_arg_full,Secondary
dfrA3,AAA25550.1,ARO:3003105,1,0.0006011782059531363,13007,SRR12901034_arg_full,Secondary
dfrB3,ACR57831.1,ARO:3003022,149,0.1848204441516939,13007,SRR12901034_arg_full,Secondary
dfrB6,ADO00942.1,ARO:3003023,197,0.2443599160931792,13007,SRR12901034_arg_full,Secondary
